text,disease
"I have nasal congestion, runny nose.",Common Cold
"I feel mild cough, runny nose.",Common Cold
"I am experiencing runny nose, mild cough.",Common Cold
"I am experiencing fatigue, nasal congestion.",Common Cold
"I feel mild cough, nasal congestion, fatigue.",Common Cold
"Symptoms include runny nose, nasal congestion, mild cough.",Common Cold
"Lately I have been having nasal congestion, sneezing, fatigue.",Common Cold
"I have fatigue, nasal congestion.",Common Cold
"Lately I have been having mild cough, sore throat, sneezing, runny nose.",Common Cold
"I am experiencing sore throat, nasal congestion, sneezing.",Common Cold
"Symptoms include fatigue, nasal congestion, mild cough.",Common Cold
"Lately I have been having sore throat, mild cough.",Common Cold
"Lately I have been having fatigue, mild cough, sore throat, sneezing.",Common Cold
"Symptoms include nasal congestion, fatigue, sneezing.",Common Cold
"Lately I have been having mild cough, nasal congestion, sore throat, fatigue.",Common Cold
"I am experiencing fatigue, runny nose, nasal congestion, sneezing.",Common Cold
"I feel mild cough, runny nose, sneezing.",Common Cold
"I am experiencing sneezing, sore throat, fatigue.",Common Cold
"I have sneezing, fatigue.",Common Cold
"I have fatigue, nasal congestion, runny nose, sneezing.",Common Cold
"Symptoms include fatigue, nasal congestion.",Common Cold
"Symptoms include nasal congestion, sneezing.",Common Cold
"I feel fatigue, runny nose, sore throat, sneezing.",Common Cold
"I have fatigue, sneezing, nasal congestion, runny nose.",Common Cold
"I feel fatigue, sneezing.",Common Cold
"I am experiencing nasal congestion, sneezing, sore throat, fatigue.",Common Cold
"I have nasal congestion, fatigue, runny nose, mild cough.",Common Cold
"Lately I have been having fatigue, sore throat.",Common Cold
"I feel runny nose, mild cough.",Common Cold
"Lately I have been having sore throat, nasal congestion, runny nose, mild cough.",Common Cold
"I have mild cough, runny nose.",Common Cold
"I have sore throat, mild cough, nasal congestion, runny nose.",Common Cold
"I am experiencing fatigue, sneezing, runny nose.",Common Cold
"I have sore throat, sneezing, runny nose.",Common Cold
"Symptoms include mild cough, runny nose, nasal congestion.",Common Cold
"I have runny nose, sneezing.",Common Cold
"I have sneezing, sore throat, runny nose, mild cough.",Common Cold
"Lately I have been having mild cough, fatigue.",Common Cold
"I feel fatigue, runny nose, nasal congestion.",Common Cold
"I feel sore throat, mild cough.",Common Cold
"Lately I have been having fatigue, runny nose, mild cough.",Common Cold
"I am experiencing nasal congestion, fatigue, runny nose, mild cough.",Common Cold
"I am experiencing mild cough, sneezing.",Common Cold
"I am experiencing mild cough, fatigue, sneezing, runny nose.",Common Cold
"I have mild cough, fatigue.",Common Cold
"I feel nasal congestion, sore throat.",Common Cold
"I feel runny nose, sore throat.",Common Cold
"Lately I have been having sneezing, sore throat, runny nose.",Common Cold
"I am experiencing fatigue, runny nose.",Common Cold
"Symptoms include mild cough, sore throat, fatigue.",Common Cold
"Symptoms include nasal congestion, runny nose.",Common Cold
"Lately I have been having sneezing, mild cough.",Common Cold
"Lately I have been having nasal congestion, sneezing, fatigue, mild cough.",Common Cold
"I feel sore throat, sneezing, fatigue.",Common Cold
"I feel runny nose, sore throat, fatigue, nasal congestion.",Common Cold
"I am experiencing nasal congestion, sore throat, runny nose, mild cough.",Common Cold
"Symptoms include fatigue, nasal congestion.",Common Cold
"Lately I have been having runny nose, nasal congestion.",Common Cold
"Symptoms include sore throat, runny nose, mild cough, sneezing.",Common Cold
"I am experiencing mild cough, fatigue, sneezing, sore throat.",Common Cold
"Lately I have been having runny nose, sore throat.",Common Cold
"I feel runny nose, fatigue, sore throat, mild cough.",Common Cold
"Lately I have been having nasal congestion, sneezing.",Common Cold
"I am experiencing fatigue, sore throat, sneezing.",Common Cold
"Symptoms include sore throat, runny nose, nasal congestion.",Common Cold
"Symptoms include nasal congestion, fatigue.",Common Cold
